timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/14/2019 0:00;1,4;981;789;0,1;7,8;133;0,05;0,9;63;12;1,1
11/14/2019 2:00;0;0;0;0;7,6;148;0,05;1,5;75;12;1
11/14/2019 4:00;0;0;0;0;7,8;160;0,05;0,9;74;12;1,2
11/14/2019 6:00;0;No events found,;0;0;8,3;177;0,05;0,9;108;12;1,2
11/14/2019 8:00;1,52;964;765;0,1;7,5;169;0,05;1,5;89;15;1,4
11/14/2019 10:00;0;0;0;0;7,5;161;0,05;1,2;86;11;1
11/14/2019 12:00;0;0;0;0;7,8;148;0,05;1,4;102;11;0,9
11/14/2019 14:00;0;0;0;0;7,6;143;0,05;1,8;74;11;1
11/14/2019 16:00;1,6;983;701;0,2;7,7;140;0,05;1,4;69;11;0,9
11/14/2019 18:00;0;0;0;0;7,8;133;0,05;1,5;60;11;0,9
11/14/2019 20:00;0;0;0;0;8;130;0,05;1,4;92;12;1,2
11/14/2019 22:00;0;0;0;0;8,3;106;0,05;1,4;45;11;1
11/15/2019 0:00;1,52;962;792;0,1;8,1;141;0,05;0,9;27;11;1,1
11/15/2019 2:00;0;0;0;0;7,9;125;0,05;1,5;68;12;1,1
11/15/2019 4:00;0;0;0;0;8;135;0,05;1,2;49;12;1,1
11/15/2019 6:00;0;No events found,;0;0;7,9;132;0,05;1,5;40;11;0,9
11/15/2019 8:00;1,54;968;783;0,1;8;136;0,05;1,5;79;10;0,9
11/15/2019 10:00;0;0;0;0;7,7;137;0,05;1,3;44;9,4;0,7
11/15/2019 12:00;0;0;0;0;7,9;146;0,05;1,2;41;9,9;0,9
11/15/2019 14:00;0;0;0;0;6,8;267;0,05;1,5;43;9,9;0,9
11/15/2019 16:00;1,2;958;815;0,1;8;125;0,04;0,8;84;11;1
11/15/2019 18:00;0;0;0;0;7,9;129;0,05;1;40;11;1
11/15/2019 20:00;0;0;0;0;7,9;132;0,04;0,7;48;12;1,2
11/15/2019 22:00;0;0;0;0;7,7;130;0,04;1,1;50;12;1,1
11/16/2019 0:00;1,5;947;798;0,1;8,1;113;0,05;1;40;12;1,2
11/16/2019 2:00;0;0;0;0;8;130;0,05;1,2;45;12;1,1
11/16/2019 4:00;0;0;0;0;8;126;0,05;1;40;12;1,1
11/16/2019 6:00;0;No events found,;0;0;8;111;0,05;1,3;88;11;1,1
11/16/2019 8:00;1,51;913;801;0,2;7,6;129;0,05;0,9;38;11;1
