data hora	measurement_desc	pi_value1	plant_name
2019-11-16 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-16 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-16 10:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-16 14:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-16 18:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 00:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 06:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-11-17 08:00:00	YellowColor_Oil_Deodorizing	20	Primavera do Leste
2019-11-17 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-17 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-17 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-17 16:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-11-17 18:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-17 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-18 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-18 08:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-18 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 16:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-18 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-18 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-19 00:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-19 04:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-19 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-19 08:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 10:00:00	YellowColor_Oil_Deodorizing	9.5	Primavera do Leste
2019-11-19 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 14:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-19 20:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-19 22:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-20 00:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-20 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-20 04:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-20 06:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-20 08:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-20 10:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
